obstacle_dist,speed,turn_angle,battery,command
5.0,1.0,0.0,0.90,forward
4.5,0.8,5.0,0.80,forward
4.0,0.7,2.0,0.70,forward
4.8,0.9,1.0,0.95,forward
5.5,1.0,0.0,1.00,forward
3.0,0.5,-30.0,0.60,turn_left
2.5,0.4,-25.0,0.50,turn_left
2.0,0.3,-20.0,0.40,turn_left
3.5,0.6,-35.0,0.55,turn_left
1.8,0.2,-15.0,0.45,turn_left
3.0,0.5,30.0,0.60,turn_right
2.5,0.4,25.0,0.50,turn_right
2.0,0.3,20.0,0.40,turn_right
3.2,0.5,35.0,0.65,turn_right
1.8,0.2,15.0,0.45,turn_right
0.5,0.1,0.0,0.30,stop
0.3,0.0,0.0,0.20,stop
0.4,0.0,5.0,0.10,stop
0.6,0.0,0.0,0.25,stop
0.2,0.0,-3.0,0.15,stop
