obstacle_dist,speed,turn_angle,battery,runtime_minutes
5.0,1.0,0.0,0.90,48.0
4.5,0.8,5.0,0.80,44.0
4.0,0.7,2.0,0.70,39.0
4.8,0.9,1.0,0.95,51.0
5.5,1.0,0.0,1.00,55.0
3.0,0.5,-30.0,0.60,32.0
2.5,0.4,-25.0,0.50,27.0
2.0,0.3,-20.0,0.40,22.0
3.5,0.6,-35.0,0.55,30.0
1.8,0.2,-15.0,0.45,23.0
3.0,0.5,30.0,0.60,33.0
2.5,0.4,25.0,0.50,28.0
2.0,0.3,20.0,0.40,23.0
3.2,0.5,35.0,0.65,35.0
1.8,0.2,15.0,0.45,24.0
0.5,0.1,0.0,0.30,14.0
0.3,0.0,0.0,0.20,9.0
0.4,0.0,5.0,0.10,5.0
0.6,0.0,0.0,0.25,12.0
0.2,0.0,-3.0,0.15,7.0
